source_id,title,authors,publication_year,venue,doi,pmid,arxiv_id,other_identifier,source_url,pdf_url,local_path,access_date,license_type,license_url,usage_status,inclusion_status,inclusion_reason,exclusion_reason,expected_content_hash,source_type,study_type,population,intervention,comparator,outcome_notes,notes
me-chokkakula-2026-the-post-marketing-safety-of-venlafaxine,The post-marketing safety of venlafaxine: a real-world two-decade pharmacovigilance study using the FAERS database.,Santosh Chokkakula; Hualiang Yang; Abeer A Al-Masri; Yiquan Zhang; Bommireddy Naveen; Bing Yang,2026,Frontiers in pharmacology,10.3389/fphar.2026.1737113,41646188,,PMC12868114,https://pmc.ncbi.nlm.nih.gov/articles/PMC12868114/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12868114.1/PMC12868114.1.pdf?md5=400d98d30889a57c127e58280c1fa320,PMC12868114.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:a77e4137648da4e73ec10e82b6c79111a64e0c2c116e482dcc0663c981e6339d,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
me-alborghetti-2026-comparative-effect-of-vortioxetine-and-sertraline,Comparative effect of vortioxetine and sertraline on clinical and inflammatory profile in Parkinson's disease with comorbid depression.,Marika Alborghetti; Camilla Moliterni; Edoardo Bianchini; Domiziana Rinaldi; Daniela Caissutti; Antonella Capozzi; Fabiana Giada Radicati; Antonella Moschillo; Martina Marino; Isabella Berardelli; Marco Salvetti; Ferdinando Nicoletti; Roberta Misasi; Francesco Ernesto Pontieri,2026,Frontiers in neuroscience,10.3389/fnins.2026.1761550,41658944,,PMC12874709,https://pmc.ncbi.nlm.nih.gov/articles/PMC12874709/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12874709.1/PMC12874709.1.pdf?md5=acd4519f16b0f52593fe7c93b2dff542,PMC12874709.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:57bf461bec4a0b6137b39c179fcefb4de6af8913e52d595b50b9d697baa87413,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
me-li-2026-efficacy-and-safety-of-desvenlafaxine-in,Efficacy and safety of desvenlafaxine in treating patients with major depressive disorder: a network meta-analysis.,Lingke Li; Xiaodan Ren; Chenzhao Yuan,2026,Frontiers in neuroscience,10.3389/fnins.2026.1721852,41725851,,PMC12920435,https://pmc.ncbi.nlm.nih.gov/articles/PMC12920435/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12920435.1/PMC12920435.1.pdf?md5=0a5d3f6555e1cf9ff9e1be765ded891f,PMC12920435.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:5867f28ed3642972fdab2806a6a9d3527a99b4339f30293e3ffc8df6f93543ea,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
me-zhukovsky-2026-a-precision-medicine-trial-of-bupropion,A precision medicine trial of bupropion and sertraline for major depressive disorder using a biomarker-guided sequential multiple-assignment design.,Peter Zhukovsky; Manuel Kuhn; Lauren R Borchers; Boyu Ren; Sarah E Woronko; Mohan Li; Choi Sze Tracy Lam; Ethan M Zhang; Kerry J Ressler; Brian P Brennan; Gordana Vitaliano; Diego A Pizzagalli,2026,Nature. Mental health,10.1038/s44220-026-00671-z,42421769,,PMC13341311,https://pmc.ncbi.nlm.nih.gov/articles/PMC13341311/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13341311.1/PMC13341311.1.pdf?md5=e60d0cfb56c9c26fb5d3f7e485d27aff,PMC13341311.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:99b3d3aa9a4ebf2b7d649e04df7fc788358f0695e4e0175060560950b816cc30,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-luca-2025-efficacy-and-tolerability-of-antidepressants-in,Efficacy and tolerability of antidepressants in individuals suffering from physical conditions and depressive disorders: network meta-analysis.,Beatrice De Luca; Andrea Canozzi; Carlotta Mosconi; Chiara Gastaldon; Davide Papola; Alessia Metelli; Federico Tedeschi; Francesco Amaddeo; Marianna Purgato; Marco Solmi; Corrado Barbui; Giovanni Vita; Giovanni Ostuzzi,2025,The British journal of psychiatry : the journal of mental science,10.1192/bjp.2025.18,40183137,,PMC12355465,https://pmc.ncbi.nlm.nih.gov/articles/PMC12355465/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12355465.1/PMC12355465.1.pdf?md5=b459370d317540bc604a7a783b2dc8c0,PMC12355465.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:848a8f2695e6cd86f21ce10c604e9272314b7f1c1c6c20dfe00f9ed908452aa5,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-prez-2025-the-depre-5-study-pragmatic-multicentre,"The DEPRE'5 study: pragmatic, multicentre, five-arm, parallel-group randomised controlled trial with blinded assessment to compare treatment strategies in major depression after a failed selective serotonin reuptake inhibitor treatment.",Víctor Pérez; Dolors Puigdemont; Javier de Diego-Adeliño; Matilde Elices; Itziar Leal; Maria Cabello; Roberto Rodriguez-Jimenez; Miguel Ángel Álvarez-Mon; Lorena García-Fernández; Eduardo José Aguilar García-Iturrospe; Maria José Escartí; Angel Luis Montejo; José Manuel Montes; Judith Usall; Ascensión Gallego-Nogueras; Elena Lujan; Raquel López-Carrilero; Ana González-Pinto; Agurtzane Ortiz-Jauregui; Jordi Blanch; Mikel Urretavizcaya; Francesc Colom; Javier García-Campayo; José Luis Ayuso-Mateos,2025,The British journal of psychiatry : the journal of mental science,10.1192/bjp.2025.13,40530754,,PMC12550662,https://pmc.ncbi.nlm.nih.gov/articles/PMC12550662/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12550662.1/PMC12550662.1.pdf?md5=7858b69d3141d27ff601639f9b37a46e,PMC12550662.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:9740cddb004dd20c32327aa6d559a0620b4b81943d934157fd84d40d8f537057,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-xie-2025-sertraline-and-inflammatory-markers-in-major,Sertraline and inflammatory markers in major depression: a systematic review and meta-analysis.,ZiLiang Xie; Zheng Gao; Xue Li; Shuo Li; Fan Tang; Caiyi Zhang,2025,Annals of general psychiatry,10.1186/s12991-025-00596-4,41023687,,PMC12482824,https://pmc.ncbi.nlm.nih.gov/articles/PMC12482824/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12482824.1/PMC12482824.1.pdf?md5=2bd511a4f5823ae80fa8fa4856f6e904,PMC12482824.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:92d00908c981af820c2f35c209bfd5d414d7548b47f16b5ee35d1376e5f20cf4,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-zhao-2025-effects-of-paroxetine-combined-with-sulpiride,Effects of paroxetine combined with sulpiride on sleep status and quality of life in patients with depressive episodes.,Di Zhao; Chunyu Liu,2025,Frontiers in psychiatry,10.3389/fpsyt.2025.1600675,41040935,,PMC12484152,https://pmc.ncbi.nlm.nih.gov/articles/PMC12484152/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12484152.1/PMC12484152.1.pdf?md5=c58321c650d19a9555cefb2eb760ac26,PMC12484152.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:a4fb0920569b73922326b68755642aab26b8c21275b821cd4df0d8b149637f02,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-prez-2025-oral-side-effects-of-fluoxetine-in,Oral side effects of fluoxetine in patients with depressive disorder: A systematic review.,M-G Sarrión Pérez; Y Jiménez; L Bagán; J Bagán,2025,"Medicina oral, patologia oral y cirugia bucal",10.4317/medoral.26947,39954277,,PMC12019662,https://pmc.ncbi.nlm.nih.gov/articles/PMC12019662/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12019662.1/PMC12019662.1.pdf?md5=5b85a8ca80d2e2c2462519be56f8ae84,PMC12019662.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:1b547688fe22be25bfe96faec874a16f74bedb6550bb56ef374e670da78d7cb8,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-urata-2025-efficacy-of-pharmacological-interventions-in-milder,Efficacy of Pharmacological Interventions in Milder Depression: A Systematic Review and Meta-Analysis.,Minoru Urata; Hitoshi Sakurai; Fumihiko Ueno; Taku Maruki; Teruo Tada; Takahito Uchida; Yasuyuki Matsumoto; Masami Murao; Masayuki Tomita; Hajime Baba; Masaki Kato; Takashi Tsuboi; Koichiro Watanabe,2025,Neuropsychopharmacology reports,10.1002/npr2.70008,40014460,,PMC11867163,https://pmc.ncbi.nlm.nih.gov/articles/PMC11867163/,https://pmc-oa-opendata.s3.amazonaws.com/PMC11867163.1/PMC11867163.1.pdf?md5=c1c8263ef26bac93c454ca1aae2af7ce,PMC11867163.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:5a6e77f9b33b968ef6e6744c1e8d7ee6e9dbe2a766205afc9fb101686ef8108d,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-ju-2025-agomelatine-as-adjunctive-therapy-with-ssris,"Agomelatine as adjunctive therapy with SSRIs or SNRIs for major depressive disorder: a multicentre, double-blind, randomized, placebo-controlled trial.",Yumeng Ju; Wenwen Ou; Haoran Chen; Limin Yang; Yan Long; Hui Liang; Zhenman Xi; Mei Huang; Wentao Chen; Guanyi Lv; Fangzhou Shao; Bangshan Liu; Jin Liu; Zexuan Li; Mei Liao; Weiye Liang; Zhijian Yao; Yan Zhang; Lingjiang Li,2025,BMC medicine,10.1186/s12916-025-03951-0,40038707,,PMC11881269,https://pmc.ncbi.nlm.nih.gov/articles/PMC11881269/,https://pmc-oa-opendata.s3.amazonaws.com/PMC11881269.1/PMC11881269.1.pdf?md5=2754e8b6e46f1617dfa0a5508f0d2360,PMC11881269.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:fc4906d0f9046263dea5592cd8cf186020c2f11d1f2eab20190d76b6c3d594f3,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
mh-mishra-2025-efficacy-of-vortioxetine-versus-escitalopram-on,Efficacy of Vortioxetine Versus Escitalopram on the Cognitive Profile of Patients With Depressive Disorder: A Comparative Study.,Saloni Mishra; Varchasvi Mudgal; Koustubh R Bagul; Priyash Jain; Virendra Pal,2025,Cureus,10.7759/cureus.79365,40125150,,PMC11929533,https://pmc.ncbi.nlm.nih.gov/articles/PMC11929533/,https://pmc-oa-opendata.s3.amazonaws.com/PMC11929533.1/PMC11929533.1.pdf?md5=2fdff4f13c104da3b5d3bacd32e22359,PMC11929533.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,Manual title/abstract scope screen; batch-runner acquisition.,,sha256:e76005de05bd91248a1e0e56bcadcc62609a2e3eee4c45940124ca9bfafd6336,paper,,,,,,"Acquired via work/run_paper_batch.sh, not individually hand-curated beyond the scope screen."
